X,Y,FID
140.9802,37.01006,ports_harbor.411
52.17038,27.73018,ports_harbor.412
-105.3161,20.51275,ports_harbor.413
141.7159,42.6199,ports_harbor.414
140.576,36.30807,ports_harbor.415
-83.4895,41.6675,ports_harbor.416
139.8268,35.61168,ports_harbor.417
131.7741,34.04864,ports_harbor.418
131.8485,34.00237,ports_harbor.419
136.8328,34.87192,ports_harbor.420
143.3322,42.29572,ports_harbor.421
138.7857,34.91331,ports_harbor.422
129.5856,28.36274,ports_harbor.423
-160.3558,59.05989,ports_harbor.424
131.7167,33.603,ports_harbor.425
140.851,35.69692,ports_harbor.426
-6.7415,62.0945,ports_harbor.427
-1.201372,60.4648,ports_harbor.428
-70.21146,-22.09103,ports_harbor.429
23.98376,32.06861,ports_harbor.430
136.9674,34.72066,ports_harbor.431
134.2282,34.7272,ports_harbor.432
-6.065826,56.62102,ports_harbor.433
49.4175,-18.15205,ports_harbor.434
-36.91853,-10.84528,ports_harbor.435
15.41863,43.9229,ports_harbor.436
59.25618,22.83074,ports_harbor.437
18.69407,42.43254,ports_harbor.438
2.449479,36.59433,ports_harbor.439
25.15737,37.53632,ports_harbor.440
171.2665,-44.3815,ports_harbor.441
27.3935,36.4175,ports_harbor.442
0.3456012,51.46104,ports_harbor.443
5.0558,51.5674,ports_harbor.444
4.1205,36.895,ports_harbor.445
-58.60046,-34.41344,ports_harbor.446
-82.72284,27.69085,ports_harbor.447
5.442468,51.88789,ports_harbor.448
117.9179,38.9985,ports_harbor.449
8.221,56.699,ports_harbor.450
-89.215,48.403,ports_harbor.451
-72.539,46.335,ports_harbor.452
8.118999,56.3695,ports_harbor.453
-6.769027,62.00233,ports_harbor.454
5.849035,51.15709,ports_harbor.455
4.219219,51.53037,ports_harbor.456
22.946,38.22,ports_harbor.457
25.35225,36.43816,ports_harbor.458
25.42997,36.40205,ports_harbor.459
133.6465,-32.1345,ports_harbor.460
22.91859,40.63692,ports_harbor.461
24.70741,40.78022,ports_harbor.462
0.6936519,51.43404,ports_harbor.463
0.5083514,51.50671,ports_harbor.464
4.820805,53.02388,ports_harbor.465
